Date,Open,High,Low,Close,Volume
10/23/2020,60400,60400,59800,60200,9322232
10/26/2020,60400,61100,60100,60400,13268226
10/27/2020,60300,60300,59500,59800,17260416
10/28/2020,59400,59400,58800,59000,14428882
10/29/2020,58200,58500,57500,58100,22636966
10/30/2020,58000,58000,56600,56600,26907844
11/2/2020,56400,57500,56000,57400,20489076
11/3/2020,57900,58900,57600,58800,14950919
11/4/2020,58900,59000,57800,58500,21718561
11/5/2020,59000,60300,58800,60300,20639475
11/6/2020,60700,60800,59600,60100,16910230
11/9/2020,60700,60900,60100,60200,15892961
11/10/2020,60500,60500,59500,60200,19073552
11/11/2020,60700,61400,60400,61300,25628510
11/12/2020,61000,61400,60700,61000,19800573
11/13/2020,61300,63200,61000,63200,31508829
11/16/2020,64000,66700,63900,66300,36354334
11/17/2020,67000,67000,65600,65700,30204089
11/18/2020,65700,66200,64700,64800,22963790
11/19/2020,64100,64800,63900,64600,16590290
11/20/2020,63900,65200,63900,64700,15068682
11/23/2020,64800,67800,64700,67500,27134398
11/24/2020,67900,69500,67000,67700,32158235
11/25/2020,67900,68300,66500,66600,32447065
11/26/2020,66100,68000,66000,68000,19023323
11/27/2020,68000,68400,67600,68200,14063434
11/30/2020,68400,68600,66700,66700,43811016
12/1/2020,67100,68300,67100,67800,22327173
12/2/2020,68400,69900,68300,69500,29703942
12/3/2020,70100,70500,69300,69700,23677989
12/4/2020,70400,72100,70100,71500,28130533
12/7/2020,72400,73500,71900,72900,28490496
12/8/2020,72200,72900,71600,71700,25000338
12/9/2020,72100,73900,72000,73900,24077996
12/10/2020,72700,73800,72500,72900,39882928
12/11/2020,73500,73800,73100,73400,18486672
12/14/2020,73600,74500,73200,73800,21510415
12/15/2020,73800,74100,73300,73800,20863671
12/16/2020,74100,74500,73400,73800,17512081
12/17/2020,73400,73700,72600,73300,24293214
12/18/2020,73300,73700,73000,73000,17613029
12/21/2020,73100,73400,72000,73000,20367355
12/22/2020,72500,73200,72100,72300,16304910
12/23/2020,72400,74000,72300,73900,19411326
12/24/2020,74100,78800,74000,77800,32502870
12/28/2020,79000,80100,78200,78700,40085044
12/29/2020,78800,78900,77300,78300,30339449
12/30/2020,77400,81300,77300,81000,29417421
01/4/2021,81000,84400,80200,83000,38655276
01/5/2021,81600,83900,81600,83900,35335669
01/6/2021,83300,84500,82100,82200,42089013
01/7/2021,82800,84200,82700,82900,32644642
01/8/2021,83300,90000,83000,88800,59013307
01/11/2021,90000,96800,89500,91000,90306177
01/12/2021,90300,91400,87800,90600,48682416
1/13/2021,89800,91200,89100,89700,36068848
1/14/2021,88700,90000,88700,89700,26393970
1/15/2021,89800,91800,88000,88000,33431809
1/18/2021,86600,87300,84100,85000,43227951
1/19/2021,84500,88000,83600,87000,39895044
1/20/2021,89000,89000,86500,87200,25211127
1/21/2021,87500,88600,86500,88100,25318011
1/22/2021,89000,89700,86800,86800,30861661
1/25/2021,87000,89900,86300,89400,27258534
1/26/2021,88800,89200,86500,86700,33178936
1/27/2021,86600,87700,85600,85600,26423070
1/28/2021,83200,85600,83200,83700,31859808
1/29/2021,84500,85000,82000,82000,39615978
02/1/2021,81700,83400,81000,83000,28046832
02/2/2021,84100,86400,83700,84400,26302077
02/3/2021,84800,85400,83400,84600,22112205
02/4/2021,83500,83800,82100,82500,24171688
02/5/2021,83100,84000,82500,83500,18036835
02/8/2021,83800,84200,83000,83000,15338765
02/9/2021,84000,84800,82700,82700,20898332
